amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
100,Please help me get through the next few months.,U.S. Dollar,"Nov 29, 2018",of $3.5k goal,1,"Hi I'm Cyndi. As most of you know I'm not the type of person
    to ask for help but I'm in trouble. I have a heart condition called
    SVT. At times my heart can reach over 220 beats per minute. If left
    to long it can cause cardiac arrest or a stroke. I have been on meds
    for quite a while to control it but in the last year those meds have
    not been working as well. Back in March I was hospitalized and they
    performed an ablation to fix the problem. Unfortunately that did not
    work. I have lost employment because of not being able to be there
    on a daily basis. I have been to the ER numerous times in the last
    few months and as recent as yesterday. My Cardiologist has told me
    to only work part time at the moment. I did start a job last week
    but due to being in the ER yesterday and missing time I
    unfortunately can not go back. I have a second ablation scheduled for Dec 4th but not being
    able to work puts a strain not only on my mental state but my
    financial situation as well. I know times are tough for most people
    right now but I'm asking for assistance to get me through Nov and
    Dec. This absolutely kills me to be asking for help but things are
    dire at this point. All I want is to put this last year behind me, to get better
    and go back to work. Thank you so much for taking the time to read
    this. Whether you are able to help or not I appreciate your friendship. Thanks Cyndi",https://fundrazr.com/21Q2Ia
"1,460",Help Nadia pay for gender affirming surgeries,Euro,,of €4k goal,39,"Hi there. My name is Nadia . I'm a neurodiverse
  transgender woman of color living The Netherlands. I was assigned male at birth, but for most of my life, especially
  since I started puberty I've been suffering from crippling dysphoria regarding my gender. Along with my ADHD , this led to me developing chronic
    depression, anxiety and agoraphobia in my late teens and
  young adulthood. Eventually I couldn't take it any more and realized
  that the only way I could ever be truly happy is to transition and start living as my most authentic self. I’ve lived in this body for 31 years, of which only the last 3 I've
  been on Hormone Replacement Therapy (HRT) . This,
  along with things like permanent laser facial hair
  removal has gone a long way towards helping me look and feel
  like the woman I know I am. But there's only so much that hormones can
  do. It can't fix the parts of my body that cause me the most
  dysphoria. Only surgery can change those. When I first started transition, I didnt want to rush into any
  surgeries. After all, they're scary, permanent, invasive and very
  expensive. I was hoping HRT alone would be enough. But over the past 3
  years the pain I feel regarding these specific aspects of my body has
  been constant and persistent regardless of how much
  self love I try to practice. It’s not something that’s just
    going to go away on its own. Deciding on getting these procedures isn't a decision I made lightly.
  It came after years of deliberation and trying everything else I could
  think of to make this feeling go away. Over the past 9 months especially, my mental health has gone down the
  drain. A lot of the time I'm too scared to go outside by myself,
  because how transphobic society can be to someone like me. My loved
  ones, family members, and partners have noticed how much worse I've
  gotten. I've been feeling hopeless, gross and most of all stuck. Like
  I'm unable to move forward in any way. Just like my decision to come out and transition, the decision to get
  rid of my facial hair using laser hair removal, the decision to go on
  HRT, having these surgeries really is the best
  option. It’s the next step I need to take in my transition. Please consider donating if you’re able to. It would mean
      the world to me and you’d be helping me out in a big way. If
      you’re unable to donate please share the link as much as possible. Thank you. <3",https://fundrazr.com/helpnadia
"8,730",Please help Meredith get the spinal surgery she needs!,U.S. Dollar,"Nov 13, 2018",of $8k goal,74,"Hey friends and family. In March of this year while visiting Daniel’s
  parents in Panama we took a horseback ride (my first ever) on the
  beach where I rode a horse galloping across the sand for some time.
  (The photo above was taken on that trip before the horseback ride.)
  The next morning I had severe pain and difficulty walking. I saw a
  doctor there who suggested I continue with some chiropractic treatment
  when I got back to the states. Back in the US I continued to see
  several chiropractors, an acupuncturist, and a physical therapist.
  Some thought it was my piriformis muscle or my sacrum. But no matter
  the amount of rest or stretching the pain only got worse.  Eventually
  over the summer I received an MRI and consulted with an spine
    surgeon after finding out the issue was actually with my spine. I
    have a 4-5mm herniated disc on my L5 S1 that is pressing directly
    onto the nerve root in my left leg causing extreme pain and
    inflammation. Through this whole ordeal I have not had health insurance. Ive had to
  continue to work my personal assisting job which is fairly physical
  (cleaning, shopping, laundry, errands etc) to be able to pay cash for
  each treatment I received. I also started to drive for postmates and
  babysit to earn extra cash to pay for treatment. When that wasn’t
  enough Daniel, my family (hey mom hey dad) and even my boss have
  contributed financially to helping me heal my back. In August a dear
  friend (Holly) put me in touch with a reputable spine surgeon in
  Glendale, CA. He suggested I exhaust all options before considering
  surgery. So that is what I did. I continued aggressively with
  acupuncture, spinal decompression therapy, massage, hot and cold
  compresses, lots of rest, supplements, anti inflammatory diet, PT,
  oral steroids, CBD, you name it. I even tried meditation, reiki,
  hypnosis, and psychic surgery!!! The final and last option was an
  epidural steroid shot which I have had 2 of in the past two weeks and
  have not received any relief. At this point I need a minimally invasive surgery called a posterior
  lumbar microdiscectomy. Its a same day surgery but involves general
  anesthesia and about a 4 week recovery time. The surgery would remove
  the part of the disc that is compressing my nerve and spinal canal.
  Through prayer, some angelic energy in the universe and the kind
  referral of my friend Holly,  this surgeon has offered to completely
  waive his fee and perform my microdiscectomy costing me only the fees
  for the anesthesiologist and the medical facility! This will be about
  6-7,000 dollars. (I will also need some blood work and some X-rays
  done before the surgery is performed) This type of surgery isn’t covered under medi-cal or hmo insurance. 
  (Im not eligable for medi-cal and open enrollment for other insurance
  doesn’t begin coverage until Jan 2019)  Since about August I haven’t
  been able to drive for postmates to earn extra money because of the
  pain caused by sitting. The 8+ months of treatment have left me with
  no savings or financial padding at this point. I will also still need
  to pay my rent and feed myself during my 4 weeks of post op recovery. My closest friends have witnessed this journey but to others I have
  been fairly quiet about it all. As a performer it’s not a good look to
  hire someone who is suffering from a spinal injury. Also I kept having
  hope that one of the treatments one day would make an impact. My
  management even told me they would not submit me for anything until I
  was medically cleared by a doctor. (They have since dropped me during
  this process) To give you a peak into my world, normal daily
  activities are a major challenge for me. I have trouble putting my own
  pants and shoes on, shaving my legs, bending, sitting more than a few
  seconds or standing after sitting for a few minutes. I drive with a
  special decompression pillow in my car and I only wear special
  orthopedic sneakers. I can’t go do yoga or indoor cycling since March
  (something i used to do 3-4 times a week) or travel more than a few
  miles from home since sitting causes the most pain. I have to lay down
  several times during the day interrupting normal daily activities.
  This has been a real major life event and has given me much
  perspective on what’s most important in life. Our health and our loved
  ones.  I’m so appreciative to anyone who has reached out during this
  process or sent me a text. I’m especially grateful to Dr. Dave Rogers
  and Holly Hyman my real life fairy godsister. Anything you can
  contribute means the world and I thank you from the bottom of my
  heart. I know what it’s like to need every penny in your bank account,
  and I’m humbled by any contribution. Break down of finances : 1,000 for anesthesiologist fee 5,000 for medical facility fee 500 for X-rays, and blood work needed before operation 1,500 to cover my rent, food, and car insurance the month I will be
  recovering and won't be able to work.",https://fundrazr.com/71Pe66
"25,201",Support Chris on Her Healing Journey,U.S. Dollar,,of $60k goal,92,"How you can help: . Donate to Chris's care on Fundrazr Share this page on social media and with
      others who may be moved to help http://fnd.us/ChrisStrother?ref=sh_e7Y8Wa Join our local care community to help with meals,
      errands, and child care on Care Calendar (code: 1980) . Chris's Story Chris has been diagnosed with stage III colon cancer, a huge
    shock to us all. If anyone is a survivor, Chris Strother is the ultimate!  But we
    know that the cancer is aggressive and she must move forward
    rapidly. Chris is preparing to undergo conventional cancer treatment
    while continuing to support her overall health with a variety of
    integrative & complementary therapies. During the coming months, Chris will be unable to work at her
    normal capacity. As a single mom, she is very aware that this means
    she will need help. If you know Chris, you know that accepting this
    kind of help does not come easy for her. But, we have convinced her
    that relieving some of her financial burden will allow her to focus
    all of her energy on healing. Our goal is to raise funds to cover
    one year of medical and living expenses. We are hoping to raise funds to help her with medical co-pays;
    living expenses; integrative nutrition; ongoing expenses for her
    son, Eli; and complementary therapies that are not covered by insurance. If you are also able to help with a ride to treatment, a meal, an
  outing for Eli, or any of the many things Chris will need help with,
  please sign up on Care Calendar (code: 1980) Chris is a precious and inspiring friend to many, a true renaissance
  woman with extraordinary gifts to further bring to our world. We are
  inviting her friends, fans, and community to support her during this
  challenging time. We want her to know that we are here for her, as she
  has been for so many of us.",https://fundrazr.com/ChrisStrother
"8,711",Road to Healing: Help Col with treatment and life!,U.S. Dollar,,of $42k goal,86,"A Message from Maria ... When I picture my friend Col, I envision light—a beautiful, warm,
  loving light. Her aura glows with this willingness to understand and empathize. That’s one of the reasons why this disease she has been battling is
  so difficult for me to come to grips with. It seems to be literally
  eating away at the insides of her physical body, and yet her mind and
  her spirit still keep glowing—still keep pushing on—despite the daily
  obstacles she faces. Col does not like to complain so she doesn't want us to list all of
  her symptoms, which are many. When you see her smiling and laughing
  with you, she's doing it amidst great pain and discomfort. Often it
  feels like she's dying. A number of her doctors don't take insurance and need to be paid out
  of pocket (just one office visit can cost $600!) and the treatment
  they prescribe is also not covered by insurance. She has been sick for
  numerous years so you can imagine the toll that that takes. Her illness is not something you'd know about unless you are close to
  her. But it's very serious and it severely impedes her quality of
  life. And her closest friends and family are very concerned— *We want her to be with us for years to come!* Please join me in doing what you can to help Col win this war within
  her body and pave her road to healing. A Message from Sue Elliott ... Have you ever met somebody — even online — and instantly loved that person? I’m not talking about lust. I’m not even talking about appreciation. What I mean is some sort of deep, soul-level recognition. A
  feeling like “home,” like “It’s so good to see you again after all
  these years! I do so adore you!” That’s how I felt about Col the first time I saw her photo and
  read a comment she had posted online in a business-oriented group
  years ago. Since then, I’ve gotten to know Col “better,” and I still have
  that same feeling. She’s like a cross between an angel, a friend and a sister! We have amazing conversations in which we both let go of all
  kinds of “stuff” that no longer serves us and we experience huge AHA moments! If you had asked me a year or so ago how I felt about Col, I
  would have told you that she’s a dear, dear friend, at the very least. And yet, as close as we had gotten on so many levels, I
  had NO idea that Col was often in severe physical pain. Not only does she not complain about pain, she’s so genuinely
  joyful and inspired and inspiring, it never dawned on me that she
  could be anything but energetic and “healthy.” Her very being exudes well-being! Col wrote a beautiful blog post that illustrates her approach to
  life and living, even in the midst of pain... even in the midst of
  illness. Please take a couple minutes to be inspired by the beauty of
  Col’s approach to — and dance with — life: Dancing in the Rain . Throughout the pain and the illness, Col has been giving to
  others in the most magnificent way. She created a FREE program called Magical Medical Mystery Tour , in which she
  interviewed amazing healers of all kinds. She created a forum in which
  these experts shared their wisdom freely with anyone who cared to
  participate. The gift of these interviews continues to unfold within
  me and, I’m sure, within all who were game for the adventure. So when Col told me that she now has one or two Western medical
  doctors for EACH of her organs! —and as much as she loves and
  appreciates them, Western medicine doesn’t seem to be working for her
  particular illness — I didn’t have to ask if she had tried natural and
  alternative healing modalities. I knew she had — with joy and
  enthusiasm and insight ... And yet, her body still has more to say — more insights to
  reveal — and it wants to reveal those insights and that wisdom through
  biological medicine. Col has received many “nudges” from the universe
  pointing her in that direction — and this is a woman who KNOWS how to
  listen to and dance with the universe. Like all great dances, it’s a two-way experience. There is
  giving and receiving. And there is constant expansion. One of the most obvious — and magnificent — benefits of this
  expansive dance with the universe and with pain and illness has been
  creativity. Everything that Col learns and experiences goes deep
  within her being and comes out as ART! Art with spirit. Art with soul. Art with purpose. And art that
  is infused with the energy of healing and a return to balance and wholeness! If you feel inspired, I encourage you to listen to your soul.
  Listen to your body. Listen to your inner response to Col’s artwork.
  And if something resonates deeply within you, please purchase it. Not only will you be bringing something beautiful and powerful
  into your own home or office, you will be helping to make Col’s dream
  come true, the universe-directed dream to receive biological treatment. I know I will be buying several pieces of Col’s work for myself
  and to give as gifts. And I know I will not be alone. Col is so loved
  by so many! Sue Elliott Founder/Editor-in-Chief of Law of Attraction Magazine www.LovingMyself.com .................................................. Here's what your donation will be used for .................................................. Phase One: $6,000 Address heavy metal poisoning, remove mercury amalgams,
    including exam, testing, IV, conscious sedation, post-op meds and at
    least a full year of chelation (then retesting and more chelation,
    if required). Phase Two : $36,000 Research-based holistic treatment plan prescribed by an
    M.D. who specializes in complex illness and an extensive stay at a
    treatment center like Paracelsus or The American Center for
    Biological Medicine including testing, treatments and medications. Ongoing: Life! Col has been unable to continue working and has needed to
    instead focus on her healing so your support will enable her to
    create the space to do this. Thank you! .................................................. PS: Contribute any amount you like. Just click the sunny-orange
  ""Contribute"" button on the upper right or the
  ""Contribute"" link below. Either choose a perk or select
  ""No thanks, I just want to contribute"" to type in a
  customized dollar amount. Thank you for helping!",https://fundrazr.com/HelpColHeal
"2,780",Empowering Recovery & Financial Relief for our Beloved Blu,Canadian Dollar,"Dec 31, 2018",of $3k goal,39,"I am a person who many of you already know had been in health crisis
  several years ago and the fear that gripped me about my future at the
  time was overwhelming.I am so grateful to have found help in many ways
  to regain all of my health and feel younger and stronger than I have
  in over ten years. It was simply because I was lucky that I stumbled
  across the natural health solutions that led me out of my own private despair. So, my friend and fellow Social Entrepreneur with Evolv Health, Judy
  Adolf,  and I have been talking for some time about using the model of
  social giving to help individuals in our community who are overwhelmed
  with a health challenge. It is through no fault of their own they have
  been buried under financial strain which only compounds their health
  issues. We decided to help people with their health in general by
  creating a Wellness focussed community MEET UP GROUP called
  ""PURPOSEFUL WELLNESS which fulfills a mandate to inspire and
  educate others about nutrition, fitness and natural healing methods
  that can help. But we also added a unique component modelling our own
  Evolv Social Business and created a fundraising platform that could
  greatly impact someone suffering with an illness or disability. Many
  face these challenges quite unexpectedly and the financial strain is
  often beyond their ability to cope. So for the first 3 months of  ""Purposeful Wellness"" we
  decided to help our mutual friend Blu Mankuma who is a well loved
  actor/ entertainer in our community currently on Kidney dialysis who
  can no longer work at his profession. He is a kind and loving soul and
  we thought who better than Blu to be our first recipient in the
  charitable program we have implemented. Our goal is to raise at least 2,000. to contribute to his meagre
  income from pensions and disability. This would to take some of the
  strain off him so he can buy healthy food , pay his rent and perhaps
  regain some strength through an immune support product that he could
  otherwise never afford. Blu Mankuma's Health Story- ""I'm an actor/director, singer/songwriter and producer.
    When I was in college I began noticing a little swelling around my
    ankles and when I went to the doctor and after several tests, he
    gave me salt pills and told me to keep him apprised. But he had no
    answers and for years the swelling continued. No matter how many
    tests the doctors did, they still had no answers. A few years ago I
    was having dinner, when I felt the need to throw up. On route to the
    bathroom, I lost my balance, I fell and was unable to get up which
    surprised the heck out of me!! I felt like the lady in the
    commercial who says,""help! I've fallen and I can't get up""
    That episode led me to the ICU at VGH for a while and then I was put
    on dialysis which I now do 3 times a week for 4 1/2 sessions. I'm
    unable to do much film work and find it hard to get by on pension
    and disability funds and it has been a struggle just to pay rent. However, I remain positive that one day my kidneys will return to full
    function but until then, I continue to fight the good fight! I'm
    still one of the most blessed individuals on the planet.",https://fundrazr.com/BluMankuma
"15,830",Help Shelby! Medical Expenses & Liver Transplant,Canadian Dollar,,of $20k goal,134,"My close friend Shelby Gielen ( Miller) is not one to ask for help with anything… so it is at this time that
    I am asking you for help on her behalf. As some of you may already
    know, Shelby, a two-time liver transplant recipient, has just found
    out that her current liver is in a late stage of chronic rejection.
    She is going to need another liver transplant in the near future and
    she is already in late stage liver cirrhosis. Over the past few years, Shelby has been suffering terribly from
    other health issues as well. Shelby developed Atypical Trigeminal
    Neuralgia which is a chronic pain condition that affects the
    trigeminal nerve, which carries sensation from your face to your
    brain. Her Atypical Trigeminal Neuralgia (ATN) has progressed to the
    point where she suffers from more frequent bouts of searing pain
    forcing her to significantly cut back on her jewelry designs. Shelby
    has been in and out of pain clinics and hospital for surgeries to
    try and help with the pain for over a year. Her most recent surgery
    for this was in early June 2018 and more will be needed to control
    the facial nerve pain that she refers to as “an ice cream head ache
    that just doesn’t ever go away”. Shelby is a fighter and no one would know by looking at her that
    she was suffering from severe chronic pain or in need of another
    transplant. Knowing the state of her liver, she just won 4 medals at
    the Canadian Transplant Games last month in swimming. She is a strong, motivated, and the most compassionate woman
    you’ll meet who needs our help to show her she is supported in this
    next journey she has to go through. She will never ask for it, so I
    will for her… I am asking you all to help raise $20,000 for Shelby’s
    upcoming medical expenses, prescriptions, bills, hospital parking,
    gas money to VGH, after-transplant care, post-transplant
    accommodations, and more as she prepares for this next medical
    hurdle. Financial worry should not be something she has to stress
    over during this time. She needs to focus on her health and getting
    a new liver. I know Shelby will be more than grateful and so will I. Together
    we can all make this easier for her and ultimately help save her life. (Photo Credits: David Fournier, Scott Gielen, Gerard Gielen,
    Kristen Andrews)",https://fundrazr.com/a1Nn70
"5,510",Luke Has Something to Get Off Their Chest,U.S. Dollar,,of $9.3k goal,64,"Let's be real, asking for money is no fun, even though I come at it
  with a lot of privilege. I wish I didn't have to disclose information
  about my gender dysphoria and healthcare decisions to a public
  audience. I wish I could just tell you all the other awesome places
  ways you could use your money, and most of all I wish that we didn't
  live in a culture where healthcare feels so unattainable for so many
  people. But the truth is, this is really important to me, and I think
  will make a big difference in my life. Top surgery is something that
  has felt out of the question for me for the past 14 years due to
  various health issues. I now feel like it is a real possibility, and I
  feel more clear than ever that it's what I want. The biggest roadblock
  still in my way is the money. So I'm here asking you for support,
  because raising money is actually way more doable than solving a lot
  of other problems in the world! And I'm so grateful and honored to
  have a community that can be part of this process with me. Here's how the estimated costs break down for the procedure and the 2
  to 6 weeks of recovery required: $8250 - the surgery itself and hospital fees $800 - the
  equivalent of 6 weeks' missed rental income to help pay my bills,
  since I won't be able to rent out my guest room during my recovery
  (and I won't be able to work for several weeks either, and currently
  am not earning any PTO as I'm only able to work part-time) $300 -
  transaction fees for this campaign Experiencing life in a body that feels like mine: priceless! Another way you can help right now: share my photography page,
  lukehirst.com. I'm using that as a way to raise money for surgery, too. Thank you in advance!!",https://fundrazr.com/lukehirst
"6,668",Zach Branson's Medical Fundraiser,U.S. Dollar,,of $15k goal,49,"Zachary Branson was born with a liver disease known as biliary
  atresia. The main procedure that was performed is known as a Kasai
  portoenterostomy. This operation connects the bile drainage from the
  liver directly to the intestinal tract. Success of this procedure may
  be improved when it is done before an infant is 8 weeks old. The Kasai
  procedure is helpful because it permits bile to flow and can allow a
  child to grow and remain in fairly good health for many years. It is
  important to understand that this surgery is typically a treatment for
  and not cure of biliary atresia. Ongoing liver disease is likely to
  continue to occur even with a successful operation. Up to 80 percent
  of children who undergo the Kasai portoenterostomy will eventually
  need to have a liver transplant. Doctors warned that Zach would not
  live past the age of 2 years old. Now at 30 years old, Zach has
  surprised the medical community. He has gone through quite rough times
  in his life growing up with this disease. His mother passed away in
  2006 from liver and kidney failure due to alcoholism. Zach cannot work
  a ""normal"" job anymore due to complications that arise from
  this disease. He is currently in the process of fighting for
  disability. The application status is pending. We are asking to share
  this page with everyone you know. Encourage your loved ones and
  friends to become an organ and tissue donor. If you have been blessed
  enough in life to allow yourself to make a donation to this brave,
  strong young man it is greatly appreciated. All funds raised will be
  used for basic living and medical expenses for Zach in his time of
  need. All help is greatly appreciated. Thank you ALL. <3 The following is Zach's ""Facebook Group"" where he shares
  all kinds of information on natural health. The Files section is loaded with
  published, peer-reviewed journal articles. Liver and Biliary Atresia - Natural
    and Probiotic Treatments The following id the Biliary Atresia co-authored by Zach's kasai
  surgeon Dr. John R. Lilly. Dr. Lilly was one of a handful of doctors
  that were personally trained on the Kasai procedure by Dr. Mario Kasai himself. Biliary Atresia Registry 1976-1989",https://fundrazr.com/ZachBranson
257,Help my sister to the process,U.S. Dollar,,of $2k goal,15,"Hi my friends Please donate for my sister DONATE 10$-20$-30$-40$-50$-100$ my sister who is sick for two years My sister is a cheerful little
      girl living in Gaza 10 years old suffering from vitiligo for two
      years because of my sister's fear was subjected to this disease.my
      sister need to process to recover and rest psychologically",https://fundrazr.com/11N5X9
"3,380",Help John fight cancer and graduate from Fanshawe,Canadian Dollar,"Nov 16, 2018",of $30k goal,41,"Myself : My name is John Olliffe, and this is my story of diagnosis and the
  challenges I am facing with my current prognosis, and life situation. I am a 49 year old mature student enrolled in the Computer System
  Technology program at Fanshawe College, in London Ontario.  I'm a
  proud dad to two wonderful daughters and a couple of Shar Pei's, and
  this September my wife and I are celebrating our 20th wedding anniversary. After almost 25 years of doing social service work, I decided I
  needed a change, and left to return to school to study Information
  Technology at Fanshawe College.  I an currently in my final year of
  studies and hope to graduate this spring with my cohort. However, that's in jeopardy, along with a few other things, thanks to
  my medical problems. Medical Issues: Shortly before Chistmas 2017,
    while on a co-op placement for my program, I began to experience a
    recurring pain in my leg.  It would get better for a few days then
    come roaring back. The first time I sought medical
    help for it I stopped in emerg In St, Mary's on my way home from
    school.  The Dr examined me and concluded I had like torn a muscle
    in my leg, but because of my weight wanted to rule out deep vein
    thrombosis, and so scheduled me for a ultrasound. The results were, of course
    negative, so I treated it as a torn muscle, with RICE etc, and
    carried on.  Until it became unbearable and my wife had to drive me
    into the the emergency room in Stratford. This Dr thought it may be some
    kind of nerve pain in my thigh, but because of my weight wanted to
    rule out bursitis so he ordered an x-ray.  When I got to the x-ray
    department I was surprised to learn that they were x-raying my hip
    instead of the thigh bone, above the knee, where it actually hurt. 
    I explained my annoyance to the tech but she told me should could
    only do what the Dr ordered. Well that x-ray came back negative
    and I was sent on my way with a Rx for nerve pain and a plan to
    follow up with my family Dr ASAP since I was frustrated that both
    medical professionals had ignored my actual complaints about WHERE
    the pain was located and instead focused on my weight. Well, the semester was condensed
    due to the faculty strike,  and by this time it was late in the
    semester.  So I had to wait until after exams when I was in my next placement. My family Dr was great he listened
    about where it ACTUALLY hurt, checked range of motion etc before
    jumping to conclusions.  After all his checks he too figured it was
    something soft tissue related, and made a referral for me to a 
    sports therapy clinic.  However, he wanted an x-ray of the actual
    area of paint to go along with me so that they could rule out
    skeletal issues and then get on with a regime of physio. It didn't turn out that way. Instead, I got a call from my Dr's
    office saying they needed to see me and I had to get blood work done
    first.  When I went in my blood work was inconclusive, and he told
    me they'd found something on the x-ray and wanted to schedule more tests. So after an MRI, and more blood
    work it was concluded that it was likely metatstatic prostate
    cancer.  So more tests, this time a full body bone scan, a full
    thorax and head CT scan and a prostate biopsy.  And it was official
    I had advanced stage 4 prostate cancer with several metastatic
    sites, and I was devastated. The Challenge: As a full time student, a father,
    and husband of a wife who is only working part time, money is
    tight.  Well I'll be honest, beyond tight.  Cancer treatment is
    neither cheap or easy on the body and as a result I have not been
    able to work full time hours at my placement. Between out of pocket expenses, medical costs, and missing work due
  to appointments, medical tests, and treatment side effects we are in
  dire financial straights and have had one bill go to third party
  collections already. The average annual cost to fight cancer in Canada is over $60,000. 
  Well more than we are making, even including OSAP and health benefits
  from the college. What my family and I are looking for is help with the day to day
  bills we have incurred and will continue to incur as a result of my
  condition.  We would also like to pay off some of the debt we have
  accumulated already as a way of reducing our monthly financial load. Our target goal is $30,000.  That number is based on a combination of
  anticipated future non medical expenses, and paying down outstanding
  debt, which will allow me to focus on healing, completing school, and
  securing a full time job in my field. Please, I ask you, help me and my family while we fight against
  cancer together and I try to finish my education so I can provide for
  my family long term. Than you for your time, John O",https://fundrazr.com/john_olliffe
633,Moody Mix Fundraiser,U.S. Dollar,"Nov 5, 2018",of $50k goal,11,"Cinque Moody, beloved husband, father, friend, and vice-principle of
  Martin Luther King, Jr. Leadership Academy is looking for your support
  as he battles Sarcoidosis.  This rare disease of the lungs causes scar
  tissue to form on the lungs, severely limiting the lungs' ability to
  function.  There is currently no cure for Sarcoidosis so Mr. Moody
  will be undergoing a lung transplant.  This will require a lengthy
  period of recovery and your donation to this cause will help the
  family through this critical time of healing and recovery.",https://fundrazr.com/Moody_Mix_Fundraiser
"1,747,934",American Gut,,,,,"The
    Human Microbiome Project and other microbiome projects worldwide
    have laid an important foundation for understanding the trillions of
    microbes that inhabit our bodies and their impact on health and
    disease. However, opportunities for the public to get involved in
    such research have been limited. Now, American Gut gives you an
    opportunity to join this research project and learn what’s living on
    and inside you. American Gut is a project built on the open-source, open-access
    principles of the Earth Microbiome Project. The data we collect is
    de-identified and then deposited into open repositories for the
    benefit of other researchers and scientists.  By participating in
    our project, you can help contribute to research that will help the
    world understand how the microbiome affects our health. In exchange
    for your participation, we generate a report summarizing the types
    of microbes observed in your sample, and how your sample relates to
    other people in the study. While American Gut mainly focuses on the gut as this is where
    most of our microbes reside, we will also look at areas like the
    oral and skin, as these areas of the body also contain microorganisms. The American Gut Project is a part of the Microsetta Initiative , with
    the goal of collecting microbiome samples and rich phenotypic data
    from populations across the globe. Some examples of what we have found using our data: Younger
  children tend to have more proteobacteria composing their microbiome.
   As you grow older, the diversity of your microbiome increases. (Based off our preliminary findings in 2014,
      found here ) There’s a significant difference between the types of bacteria
    found in industrialized populations vs. non-industrialized populations. McDonald et al. mSystems . May 2018. DOI: 10.1128/mSystems.00031-18 Joining is simple! Select the kit you would like from the list
    of options on the right-hand side by clicking “Claim this perk” (if
    you would like to receive a certain number of kits that isn’t listed
    as a perk, email us at info@americangut.org ) . Your kit
    will arrive via USPS within 2 weeks after payment, unless you have added the “Priority Shipping”
    perk along with your kit. If You Live in Europe: Visit our sister site, British Gut , to join. If You Live in Australia or Singapore: While we do have sites set up in Australia and Singapore (known
    as Australian Gut and Asian Gut respectively), we ask that participants contribute an additional $25 on top
    of their contribution, which covers an international shipping fee . These sites allow participants to send their samples back to a
    local site, which then sends the samples back to our lab in the U.S.
    to reduce the costs of shipping. If you live in Australia or Singapore and would like to
    participate, claim a perk.  The next page will have an option to
    ""top off"" your contribution with an additional amount,
    which you will use to add in the $25 to mark your kit to go out. I f you do not include the $25 shipping fee, your kit will not be
      sent out until we have received it. Once we have received your transaction, we will forward your
    information to our collaborators. They will then send out a kit to
    you, which you will receive within 3 weeks . Please note that the r eturn time for results will take significantly longer than the
    expected 3 months for Australian/Asian Gut participants. The reason
    is that we have to bulk ship samples on dry ice back to our lab at
    UC San Diego.  This costs thousands of dollars per shipment, so it’s
    only feasible to do once enough samples are ready to ship. If You Live Anywhere
    Else: International participants are also
    welcome to join. The $25 international shipping fee also applies (which you must include in your contribution), along with other regulations . I f you do not include the $25 shipping fee, your kit will not
      be sent out until we have received it. We also ask that samples are shipped back to our lab within 48 hours of being collected. The cost of expedited shipping to our lab in the U.S. from
    some locations can be expensive , so it is also recommended that you look into the cost of
    return shipping (we recommend using FedEx as it is more reliable). If you are interested in learning the process of our project
    from start to finish, we have a video available here . Each kit contains a sample tube (or more, if ordered), an
    instruction manual on how to register your kit and take a sample,
    credentials to access our participant website, and return
    envelope(s) to send your sample back. Your results will provide a general overview of how your microbial profile
    compares to other participants ( these results are not intended to be medically actionable,
      and we cannot provide any personalized interpretation ). You will also receive a list of the microorganisms found in
    your sample and their relative abundances (based at the genus
    level).  Results are uploaded via our participant website, which you
    will get access to once you register your kit. For stool samples, it will take about 3 months for you to receive your results, and longer for those who are
      participating outside the U.S. (due to shipping procedures to send
      samples back to our lab, which is based at the University of
      California San Diego).  It will also take longer to receive
      results if you submit one of the following sample types: Oral, skin, animal, and environmental samples . A desktop computer or laptop is recommended to register and log your sample into our
      participant portal website, as our participant website has
      compatibility issues on mobile devices and tablets.  The best
      browser to use when you register your kit is Google Chrome . Note that your de-identified information will be part of a
      research study and will be made available in a publicly available
      research database. That is, any personal information that might
      easily identify who you are will be removed before being placed in
      the public database. If you decide that you no longer wish to continue in this
      study, please send a request to the American Gut Project help
      account ( info@americangut.org ) to inform us of your intent to withdraw. You may request a
      refund within 50 days of your original payment if you have not yet used your kit. Please note that the Fundrazr transaction fee will be
        deducted from your refund. The consent forms are maintained on the participant website;
      details are included in your kit. To sign the consent form, you
      must agree to use an electronic format for your signature in
      accordance with the United States' eSIGN Act and California's UETA
      Act. You have the right to obtain the electronic record in a
      non-electronic form. The results you receive from submitting a sample are not
      meant to act as medical or health diagnoses . We will not be able to provide any clinical or medical
      information and recommendations from your results. If you have any questions or concerns, please email us at info@americangut.org.",https://fundrazr.com/americangut
